ID,Nombre,Edad,Género,Ciudad,Comentario,Categoría del problema,Nivel de urgencia,Fecha del reporte,Acceso a internet,Atención previa del gobierno,Zona rural,Categoría detectada,Categoría final,Urgencia_num
145,Valentina,48.0,Otro,Pereira,la contaminación del río está aumentando.,Salud,Urgente,2024-08-11,0,1,0,Medio Ambiente,Medio Ambiente,1
148,Ana,16.0,Otro,Cartagena,la contaminación del río está aumentando.,Salud,No urgente,2024-06-20,1,1,1,Medio Ambiente,Medio Ambiente,1
149,Ana,51.0,F,Cúcuta,falta agua potable en varias casas.,Medio Ambiente,No urgente,2023-02-15,1,1,0,Medio Ambiente,Medio Ambiente,1
151,Pedro,60.0,M,Santa Marta,la contaminación del río está aumentando.,Seguridad,Urgente,2023-06-12,0,1,1,Medio Ambiente,Medio Ambiente,1
152,Sofía,52.0,M,Manizales,falta agua potable en varias casas.,Salud,No urgente,2023-06-26,1,1,0,Medio Ambiente,Medio Ambiente,1
153,Laura,48.0,M,Bogotá,las calles están muy oscuras y peligrosas.,Medio Ambiente,No urgente,2024-02-14,1,1,0,,Medio Ambiente,1
154,María,79.0,M,Barranquilla,la contaminación del río está aumentando.,Medio Ambiente,Urgente,2023-02-03,0,1,0,Medio Ambiente,Medio Ambiente,1
155,Sofía,40.0,M,Cúcuta,falta agua potable en varias casas.,Medio Ambiente,No urgente,2024-06-18,1,0,1,Medio Ambiente,Medio Ambiente,1
157,Camilo,37.0,Otro,Cartagena,falta agua potable en varias casas.,Educación,No urgente,2023-02-08,0,1,0,Medio Ambiente,Medio Ambiente,1
158,Juan,40.0,F,Bogotá,no hay suficientes escuelas públicas.,Medio Ambiente,Urgente,2023-12-08,0,1,0,,Medio Ambiente,1
159,Laura,47.0,F,Santa Marta,falta agua potable en varias casas.,Seguridad,No urgente,2024-11-09,0,0,1,Medio Ambiente,Medio Ambiente,1
161,Laura,49.0,Otro,Cali,la contaminación del río está aumentando.,Educación,No urgente,2023-07-09,0,0,0,Medio Ambiente,Medio Ambiente,1
163,Juan,79.0,F,Bucaramanga,hay problemas con la recolección de basura.,Salud,No urgente,2023-09-14,1,0,0,Medio Ambiente,Medio Ambiente,1
167,Jorge,46.0,F,Barranquilla,las calles están muy oscuras y peligrosas.,Medio Ambiente,Urgente,2023-06-03,0,0,1,,Medio Ambiente,1
173,Ana,78.0,Otro,Barranquilla,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,No urgente,2024-11-19,1,1,1,,Medio Ambiente,1
174,Jorge,70.0,F,Cúcuta,hay problemas con la recolección de basura.,Medio Ambiente,No urgente,2023-04-23,0,0,0,Medio Ambiente,Medio Ambiente,1
176,Ana,54.0,M,Manizales,falta agua potable en varias casas.,Salud,Urgente,2024-07-15,1,0,0,Medio Ambiente,Medio Ambiente,1
179,Carlos,72.0,F,Bucaramanga,necesitamos más acceso a internet en la zona.,Medio Ambiente,Urgente,2023-09-13,0,1,0,,Medio Ambiente,0
180,Carlos,58.0,F,Bogotá,la contaminación del río está aumentando.,Seguridad,No urgente,2023-10-03,0,1,1,Medio Ambiente,Medio Ambiente,1
181,Laura,30.0,F,Santa Marta,las basuras no se recogen a tiempo.,Medio Ambiente,No urgente,2024-04-28,0,1,1,,Medio Ambiente,1
182,Carlos,42.0,Otro,Bogotá,la contaminación del río está aumentando.,Educación,Urgente,2024-09-29,1,0,1,Medio Ambiente,Medio Ambiente,1
183,Valentina,78.0,F,Medellín,la contaminación del río está aumentando.,Seguridad,No urgente,2024-02-12,0,0,1,Medio Ambiente,Medio Ambiente,1
191,María,17.0,M,Cali,hay problemas con la recolección de basura.,Medio Ambiente,No urgente,2024-03-08,0,0,1,Medio Ambiente,Medio Ambiente,1
193,Camilo,61.0,F,Cartagena,necesitamos más acceso a internet en la zona.,Medio Ambiente,Urgente,2023-05-18,0,1,0,,Medio Ambiente,0
194,Valentina,63.0,F,Cúcuta,falta agua potable en varias casas.,Educación,No urgente,2023-06-14,1,0,0,Medio Ambiente,Medio Ambiente,1
195,Pedro,34.0,Otro,Barranquilla,las calles están muy oscuras y peligrosas.,Medio Ambiente,No urgente,2023-05-29,0,0,1,,Medio Ambiente,1
196,Pedro,19.0,Otro,Manizales,hay problemas con la recolección de basura.,Educación,No urgente,2023-10-30,1,1,0,Medio Ambiente,Medio Ambiente,1
197,Valentina,52.0,F,Cali,las basuras no se recogen a tiempo.,Medio Ambiente,No urgente,2024-06-10,1,1,0,,Medio Ambiente,1
199,María,73.0,Otro,Barranquilla,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,No urgente,2023-08-03,0,0,1,,Medio Ambiente,1
200,Carlos,48.0,M,Medellín,la contaminación del río está aumentando.,Educación,Urgente,2024-01-19,0,0,0,Medio Ambiente,Medio Ambiente,1
204,Pedro,27.0,M,Pereira,necesitamos más acceso a internet en la zona.,Medio Ambiente,No urgente,2024-08-20,1,0,1,,Medio Ambiente,0
206,Pedro,27.0,F,Bucaramanga,las basuras no se recogen a tiempo.,Medio Ambiente,No urgente,2023-04-07,0,0,0,,Medio Ambiente,1
208,Camilo,48.0,F,Santa Marta,la contaminación del río está aumentando.,Seguridad,No urgente,2023-06-19,0,1,1,Medio Ambiente,Medio Ambiente,1
209,Pedro,15.0,M,Bogotá,necesitamos más acceso a internet en la zona.,Medio Ambiente,Urgente,2023-11-06,1,0,0,,Medio Ambiente,0
212,Carlos,64.0,Otro,Barranquilla,hay problemas con la recolección de basura.,Medio Ambiente,Urgente,2023-06-06,1,1,1,Medio Ambiente,Medio Ambiente,1
213,Ana,18.0,F,Bogotá,falta agua potable en varias casas.,Educación,Urgente,2023-12-24,1,0,0,Medio Ambiente,Medio Ambiente,1
214,Jorge,60.0,M,Santa Marta,la contaminación del río está aumentando.,Seguridad,No urgente,2024-02-18,1,0,0,Medio Ambiente,Medio Ambiente,1
217,Laura,16.0,M,Bucaramanga,las basuras no se recogen a tiempo.,Medio Ambiente,No urgente,2024-01-24,0,1,0,,Medio Ambiente,1
218,Camilo,75.0,Otro,Cúcuta,falta agua potable en varias casas.,Seguridad,No urgente,2023-01-25,0,0,1,Medio Ambiente,Medio Ambiente,1
221,Juan,49.0,Otro,Manizales,las basuras no se recogen a tiempo.,Medio Ambiente,No urgente,2024-05-16,1,1,1,,Medio Ambiente,1
223,Camilo,51.0,Otro,Bogotá,la contaminación del río está aumentando.,Medio Ambiente,No urgente,2024-07-02,1,0,0,Medio Ambiente,Medio Ambiente,1
224,María,21.0,M,Cali,no hay suficientes escuelas públicas.,Medio Ambiente,No urgente,2023-03-29,0,1,0,,Medio Ambiente,1
225,Ana,72.0,F,Pereira,falta agua potable en varias casas.,Seguridad,Urgente,2023-09-25,1,0,1,Medio Ambiente,Medio Ambiente,1
229,Camilo,52.0,F,Medellín,las basuras no se recogen a tiempo.,Medio Ambiente,Urgente,2024-11-17,0,1,1,,Medio Ambiente,1
233,Valentina,61.0,Otro,Cúcuta,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,Urgente,2023-08-04,1,0,0,,Medio Ambiente,1
236,Ana,35.0,M,Bogotá,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,No urgente,2023-02-15,0,0,1,,Medio Ambiente,1
238,Valentina,78.0,F,Bogotá,la contaminación del río está aumentando.,Seguridad,No urgente,2023-11-17,1,1,1,Medio Ambiente,Medio Ambiente,1
239,Sofía,16.0,Otro,Cartagena,las basuras no se recogen a tiempo.,Medio Ambiente,No urgente,2023-09-13,1,1,0,,Medio Ambiente,1
240,Sofía,48.0,F,Barranquilla,falta agua potable en varias casas.,Salud,Urgente,2023-04-09,1,1,1,Medio Ambiente,Medio Ambiente,1
241,María,16.0,M,Barranquilla,no hay suficientes escuelas públicas.,Medio Ambiente,No urgente,2024-07-16,1,0,1,,Medio Ambiente,1
246,Pedro,35.0,Otro,Cali,falta agua potable en varias casas.,Seguridad,Urgente,2024-02-12,0,0,0,Medio Ambiente,Medio Ambiente,1
249,María,36.0,F,Cali,las calles están muy oscuras y peligrosas.,Medio Ambiente,No urgente,2024-02-28,1,1,0,,Medio Ambiente,1
252,Pedro,29.0,M,Bogotá,necesitamos más acceso a internet en la zona.,Medio Ambiente,Urgente,2023-06-08,1,0,0,,Medio Ambiente,0
253,Sofía,67.0,M,Cúcuta,hay problemas con la recolección de basura.,Educación,Urgente,2024-07-27,1,0,0,Medio Ambiente,Medio Ambiente,1
254,María,62.0,F,Bucaramanga,las basuras no se recogen a tiempo.,Medio Ambiente,No urgente,2023-05-28,1,0,1,,Medio Ambiente,1
257,Carlos,48.0,F,Manizales,la contaminación del río está aumentando.,Seguridad,Urgente,2023-01-18,1,0,1,Medio Ambiente,Medio Ambiente,1
263,Jorge,31.0,M,Bucaramanga,la contaminación del río está aumentando.,Educación,Urgente,2024-06-02,1,1,1,Medio Ambiente,Medio Ambiente,1
264,Camilo,21.0,F,Manizales,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,No urgente,2023-06-30,0,0,1,,Medio Ambiente,1
265,Valentina,78.0,Otro,Cartagena,hay problemas con la recolección de basura.,Salud,Urgente,2023-09-21,0,1,1,Medio Ambiente,Medio Ambiente,1
267,Carlos,64.0,M,Santa Marta,hay problemas con la recolección de basura.,Salud,Urgente,2024-08-30,0,1,1,Medio Ambiente,Medio Ambiente,1
270,Camilo,79.0,F,Cúcuta,la contaminación del río está aumentando.,Seguridad,No urgente,2023-12-31,0,1,0,Medio Ambiente,Medio Ambiente,1
275,Ana,15.0,F,Medellín,necesitamos más acceso a internet en la zona.,Medio Ambiente,Urgente,2024-10-05,1,0,0,,Medio Ambiente,0
279,Carlos,46.0,F,Cartagena,la contaminación del río está aumentando.,Seguridad,Urgente,2024-02-26,1,1,1,Medio Ambiente,Medio Ambiente,1
280,Camilo,41.0,M,Cali,hay problemas con la recolección de basura.,Salud,Urgente,2024-07-28,0,1,0,Medio Ambiente,Medio Ambiente,1
281,Carlos,56.0,Otro,Manizales,la contaminación del río está aumentando.,Seguridad,No urgente,2024-03-21,1,0,0,Medio Ambiente,Medio Ambiente,1
284,Ana,21.0,F,Manizales,hay problemas con la recolección de basura.,Educación,Urgente,2024-11-28,1,1,0,Medio Ambiente,Medio Ambiente,1
285,Camilo,51.0,F,Bucaramanga,necesitamos más acceso a internet en la zona.,Medio Ambiente,No urgente,2024-02-04,1,1,0,,Medio Ambiente,0
286,Laura,17.0,Otro,Bogotá,las calles están muy oscuras y peligrosas.,Medio Ambiente,No urgente,2024-01-30,0,1,0,,Medio Ambiente,1
287,Sofía,47.0,F,Pereira,la contaminación del río está aumentando.,Educación,No urgente,2024-11-14,0,0,0,Medio Ambiente,Medio Ambiente,1
288,Camilo,46.0,F,Bucaramanga,las calles están muy oscuras y peligrosas.,Medio Ambiente,No urgente,2023-04-24,1,0,0,,Medio Ambiente,1
292,Carlos,20.0,M,Cali,las calles están muy oscuras y peligrosas.,Medio Ambiente,No urgente,2023-03-07,0,1,0,,Medio Ambiente,1
293,Camilo,29.0,F,Manizales,falta agua potable en varias casas.,Salud,No urgente,2024-11-02,0,0,0,Medio Ambiente,Medio Ambiente,1
294,Ana,22.0,F,Pereira,las calles están muy oscuras y peligrosas.,Medio Ambiente,Urgente,2024-08-19,1,1,0,,Medio Ambiente,1
295,Sofía,29.0,F,Bogotá,falta agua potable en varias casas.,Seguridad,No urgente,2023-07-24,0,0,1,Medio Ambiente,Medio Ambiente,1
296,Ana,17.0,F,Barranquilla,las calles están muy oscuras y peligrosas.,Medio Ambiente,Urgente,2023-01-09,1,0,0,,Medio Ambiente,1
299,Jorge,27.0,F,Cali,las calles están muy oscuras y peligrosas.,Medio Ambiente,Urgente,2023-07-26,1,0,0,,Medio Ambiente,1
300,Jorge,25.0,M,Medellín,la contaminación del río está aumentando.,Seguridad,Urgente,2024-02-07,0,1,1,Medio Ambiente,Medio Ambiente,1
307,Laura,38.0,M,Barranquilla,hay problemas con la recolección de basura.,Seguridad,Urgente,2024-03-25,0,0,0,Medio Ambiente,Medio Ambiente,1
308,Ana,48.0,Otro,Cúcuta,la contaminación del río está aumentando.,Educación,Urgente,2024-07-25,0,1,1,Medio Ambiente,Medio Ambiente,1
309,Camilo,55.0,Otro,Bogotá,las basuras no se recogen a tiempo.,Medio Ambiente,Urgente,2024-08-08,0,0,1,,Medio Ambiente,1
317,Camilo,72.0,M,Pereira,hay problemas con la recolección de basura.,Educación,No urgente,2023-04-08,0,1,1,Medio Ambiente,Medio Ambiente,1
318,Pedro,19.0,M,Barranquilla,las calles están muy oscuras y peligrosas.,Medio Ambiente,Urgente,2024-10-23,1,1,0,,Medio Ambiente,1
319,María,66.0,F,Manizales,la contaminación del río está aumentando.,Seguridad,No urgente,2024-06-21,1,1,0,Medio Ambiente,Medio Ambiente,1
321,Laura,77.0,F,Bogotá,hay problemas con la recolección de basura.,Salud,No urgente,2024-01-14,0,1,1,Medio Ambiente,Medio Ambiente,1
322,Sofía,37.0,Otro,Cartagena,las calles están muy oscuras y peligrosas.,Medio Ambiente,No urgente,2024-09-25,0,1,1,,Medio Ambiente,1
324,Laura,69.0,M,Cali,falta agua potable en varias casas.,Educación,Urgente,2023-04-09,1,0,0,Medio Ambiente,Medio Ambiente,1
325,Laura,63.0,Otro,Santa Marta,necesitamos más acceso a internet en la zona.,Medio Ambiente,No urgente,2024-02-26,1,1,1,,Medio Ambiente,0
327,Juan,16.0,F,Pereira,necesitamos más acceso a internet en la zona.,Medio Ambiente,Urgente,2024-08-26,0,0,0,,Medio Ambiente,0
331,Jorge,58.0,M,Bucaramanga,no hay suficientes escuelas públicas.,Medio Ambiente,Urgente,2024-01-29,0,0,1,,Medio Ambiente,1
334,Camilo,62.0,Otro,Cali,las basuras no se recogen a tiempo.,Medio Ambiente,Urgente,2023-08-19,1,1,1,,Medio Ambiente,1
336,Valentina,52.0,M,Manizales,no hay suficientes escuelas públicas.,Medio Ambiente,Urgente,2024-07-21,0,1,1,,Medio Ambiente,1
337,Ana,48.0,M,Pereira,no hay suficientes escuelas públicas.,Medio Ambiente,Urgente,2023-04-09,1,1,1,,Medio Ambiente,1
338,Juan,23.0,F,Manizales,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,No urgente,2023-09-28,0,1,1,,Medio Ambiente,1
339,María,29.0,F,Medellín,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,Urgente,2023-03-04,0,0,0,,Medio Ambiente,1
343,Jorge,65.0,Otro,Bogotá,necesitamos más acceso a internet en la zona.,Medio Ambiente,No urgente,2023-11-03,0,1,1,,Medio Ambiente,0
347,Carlos,62.0,Otro,Cúcuta,falta agua potable en varias casas.,Seguridad,No urgente,2023-10-09,1,1,1,Medio Ambiente,Medio Ambiente,1
349,Camilo,73.0,M,Bogotá,no hay suficientes escuelas públicas.,Medio Ambiente,Urgente,2023-07-23,1,1,0,,Medio Ambiente,1
350,Valentina,47.0,M,Cartagena,necesitamos más acceso a internet en la zona.,Medio Ambiente,No urgente,2023-11-04,1,1,1,,Medio Ambiente,0
352,Laura,45.0,M,Barranquilla,falta agua potable en varias casas.,Medio Ambiente,Urgente,2024-05-06,1,0,0,Medio Ambiente,Medio Ambiente,1
356,Valentina,62.0,M,Bogotá,la contaminación del río está aumentando.,Medio Ambiente,Urgente,2023-06-21,0,1,0,Medio Ambiente,Medio Ambiente,1
357,Carlos,48.0,Otro,Barranquilla,las basuras no se recogen a tiempo.,Medio Ambiente,Urgente,2024-11-08,1,1,1,,Medio Ambiente,1
359,Juan,58.0,Otro,Barranquilla,falta agua potable en varias casas.,Seguridad,No urgente,2024-07-17,0,0,1,Medio Ambiente,Medio Ambiente,1
361,Juan,69.0,Otro,Cali,hay problemas con la recolección de basura.,Seguridad,No urgente,2023-10-07,1,0,1,Medio Ambiente,Medio Ambiente,1
362,Jorge,28.0,F,Bogotá,falta agua potable en varias casas.,Educación,No urgente,2024-08-19,1,0,0,Medio Ambiente,Medio Ambiente,1
364,Carlos,30.0,M,Cartagena,hay problemas con la recolección de basura.,Salud,Urgente,2023-12-05,0,0,0,Medio Ambiente,Medio Ambiente,1
365,Ana,30.0,F,Bogotá,hay problemas con la recolección de basura.,Seguridad,No urgente,2023-09-22,1,0,1,Medio Ambiente,Medio Ambiente,1
366,Sofía,52.0,F,Pereira,no hay suficientes escuelas públicas.,Medio Ambiente,No urgente,2024-11-05,1,1,1,,Medio Ambiente,1
368,Ana,75.0,M,Cartagena,hay problemas con la recolección de basura.,Educación,Urgente,2024-05-19,0,1,1,Medio Ambiente,Medio Ambiente,1
369,Ana,18.0,M,Bucaramanga,falta agua potable en varias casas.,Educación,No urgente,2024-01-07,1,0,0,Medio Ambiente,Medio Ambiente,1
371,María,24.0,Otro,Bucaramanga,hay problemas con la recolección de basura.,Seguridad,Urgente,2024-06-07,0,0,0,Medio Ambiente,Medio Ambiente,1
372,María,18.0,M,Bogotá,hay problemas con la recolección de basura.,Salud,Urgente,2024-05-28,0,0,1,Medio Ambiente,Medio Ambiente,1
373,Carlos,67.0,F,Manizales,necesitamos más acceso a internet en la zona.,Medio Ambiente,Urgente,2024-10-24,1,0,1,,Medio Ambiente,0
376,Camilo,48.0,M,Bogotá,falta agua potable en varias casas.,Medio Ambiente,No urgente,2023-01-18,1,0,0,Medio Ambiente,Medio Ambiente,1
378,Juan,43.0,Otro,Barranquilla,la contaminación del río está aumentando.,Salud,Urgente,2023-01-18,1,0,1,Medio Ambiente,Medio Ambiente,1
379,Juan,20.0,Otro,Cali,la contaminación del río está aumentando.,Medio Ambiente,No urgente,2023-12-01,1,0,1,Medio Ambiente,Medio Ambiente,1
384,Juan,77.0,F,Santa Marta,la contaminación del río está aumentando.,Salud,Urgente,2024-08-16,0,1,0,Medio Ambiente,Medio Ambiente,1
388,Carlos,32.0,M,Barranquilla,la contaminación del río está aumentando.,Seguridad,Urgente,2024-05-09,1,1,0,Medio Ambiente,Medio Ambiente,1
390,Jorge,46.0,Otro,Bucaramanga,la contaminación del río está aumentando.,Educación,Urgente,2023-12-04,1,1,1,Medio Ambiente,Medio Ambiente,1
393,Juan,57.0,Otro,Bucaramanga,falta agua potable en varias casas.,Salud,Urgente,2023-04-25,1,1,0,Medio Ambiente,Medio Ambiente,1
394,Juan,21.0,M,Barranquilla,la contaminación del río está aumentando.,Salud,No urgente,2023-12-06,0,1,1,Medio Ambiente,Medio Ambiente,1
403,Pedro,48.0,M,Medellín,hay problemas con la recolección de basura.,Seguridad,Urgente,2024-10-31,0,0,1,Medio Ambiente,Medio Ambiente,1
404,Camilo,41.0,M,Barranquilla,hay problemas con la recolección de basura.,Educación,Urgente,2023-07-17,0,1,0,Medio Ambiente,Medio Ambiente,1
